サービスID,アイテムID,13桁ISBN,カテゴリ,評価,読書状況,レビュー,タグ,読書メモ(非公開),登録日時,読了日,タイトル,著者,出版社名,発行年,タイプ,ページ数
1,B0C3QRH73N,,漫画,4,読み終わった,,,,2025/9/5 12:16,2025/9/4 0:00,将太の寿司【極！単行本シリーズ】4巻,寺沢大介,ライツコーポレーション,2023,電子書籍,
1,B0C3QN4WFW,,漫画,4,読み終わった,,,,2025/9/5 12:16,2025/9/9 21:02,将太の寿司【極！単行本シリーズ】5巻,寺沢大介,ライツコーポレーション,2023,電子書籍,
1,B0C3QLC4JF,,漫画,4,読み終わった,,,,2025/9/5 12:15,2025/9/2 0:00,将太の寿司【極！単行本シリーズ】2巻,寺沢大介,ライツコーポレーション,2023,電子書籍,
1,B0C3QM1K7C,,漫画,4,読み終わった,,,,2025/9/5 12:15,2025/9/3 0:00,将太の寿司【極！単行本シリーズ】3巻,寺沢大介,ライツコーポレーション,2023,電子書籍,
1,B0C3QPPCY9,,漫画,4,読み終わった,,,,2025/9/5 12:14,2025/9/1 0:00,将太の寿司【極！単行本シリーズ】1巻,寺沢大介,ライツコーポレーション,2023,電子書籍,
1,4.06E+09,9.78E+12,自然科学,5,読み終わった,,,,2025/9/2 22:38,2025/9/8 18:32,生物と無生物のあいだ (講談社現代新書),福岡伸一,講談社,2007,本,288
1,486064641X,9.78E+12,学習・教育,5,読み終わった,,,,2025/9/1 12:16,2025/10/2 0:00,中学校3年分の数学が教えられるほどよくわかる 増補改訂版,小杉拓也,ベレ出版,2020,本,
1,4.48E+09,9.78E+12,学習・教育,4,読み終わった,,,,2025/9/1 12:15,2025/9/1 12:15,何のために「学ぶ」のか <中学生からの大学講義>1 (ちくまプリマー新書 中学生からの大学講義 226),外山滋比古,筑摩書房,2015,本,208
1,4.16E+09,9.78E+12,小説,4,読み終わった,,,,2025/8/21 12:13,2025/8/28 8:09,YABUNONAKA―ヤブノナカ―,金原ひとみ,文藝春秋,2025,本,528
1,B00JPXECAC,,漫画,3,読み終わった,,,,2025/8/19 8:40,2025/8/19 8:40,ショート・アラベスク,手塚治虫,手塚プロダクション,,電子書籍,254
1,4.25E+09,9.78E+12,漫画,3,読み終わった,,,,2025/8/17 1:48,2025/8/16 0:00,日本発狂 (サンデー・コミックス),手塚治虫,秋田書店,1999,マンガ,228
1,4.48E+09,9.78E+12,IT・統計,4,読み終わった,,,,2025/8/8 12:55,2025/8/20 12:38,完全独習 統計学入門,小島寛之,ダイヤモンド社,2006,本,208
1,4.48E+09,9.78E+12,IT・統計,4,読み終わった,,,,2025/8/6 7:48,2025/8/8 12:53,マンガ 統計学が最強の学問である,西内啓,ダイヤモンド社,2025,本,368
1,4.53E+09,9.78E+12,IT・統計,4,読み終わった,,,,2025/8/5 12:33,2025/8/5 12:33,データサイエンティスト入門 (日経文庫 I75),野村総合研究所データサイエンスラボ,日経BPM,2021,本,224
1,4.86E+09,9.78E+12,IT・統計,5,読み終わった,,,,2025/7/31 10:03,2025/7/31 10:43,こども統計学 なぜ統計学が必要なのかがわかる本,バウンド,カンゼン,2020,本,160
1,4.10E+09,9.78E+12,雑誌,4,読み終わった,,,,2025/7/30 11:36,2025/8/8 7:48,GOAT,西加奈子,小学館,2024,雑誌,526
1,B01IP5S7BK,,自然科学,,読みたい,,,,2025/7/22 21:51,,面白くて眠れなくなる植物学,稲垣 栄洋,PHP研究所,2016,電子書籍,184
1,4.04E+09,9.78E+12,IT・統計,,読みたい,,,,2025/7/16 15:57,,ザ・シークレット・ナンバーズ 数学の世界の知られざる先駆者たち,北川ケイト,KADOKAWA,2025,本,360
1,4.49E+09,9.78E+12,小説,,読みたい,,,,2025/7/16 15:56,,ユダの窓 (創元推理文庫),カーター・ディクスン,東京創元社,2015,本,414
1,4.15E+09,9.78E+12,小説,,読みたい,,,,2025/7/16 15:56,,時の娘 (ハヤカワ・ミステリ文庫),ジョセフィン・テイ,早川書房,1977,本,352
1,4.16E+09,9.78E+12,自然科学,,読みたい,,,,2025/7/16 15:56,,これが物理学だ! マサチューセッツ工科大学「感動」講義,ウォルター・ルーウィン,文藝春秋,2012,本,416
1,4.04E+09,9.78E+12,小説,,読みたい,,,,2025/7/16 15:55,,シャーロック・ホームズの冒険 (角川文庫),アーサー・コナン・ドイル,角川書店,2010,本,464
1,4.09E+09,9.78E+12,自然科学,,読みたい,,,,2025/7/16 15:54,,僕には鳥の言葉がわかる,鈴木俊貴,小学館,2025,本,264
