サービスID,アイテムID,13桁ISBN,カテゴリ,評価,読書状況,レビュー,タグ,読書メモ(非公開),登録日時,読了日,タイトル,著者,出版社名,発行年,タイプ,ページ数
1,415050511X,9.78E+12,自然科学,5,読み終わった,,,,2024/11/18 22:53,2024/12/29 0:00,人体600万年史 科学が明かす進化・健康・疾病 (上) (ハヤカワ文庫NF),ダニエル・E.リーバーマン,早川書房,2017,本,384
1,4.15E+09,9.78E+12,自然科学,5,読み終わった,,,,2024/11/18 22:53,2025/1/23 0:00,人体六〇〇万年史 下 科学が明かす進化・健康・疾病 (ハヤカワ文庫NF),塩原通緒,早川書房,2017,本,400
1,4.82E+09,9.78E+12,IT・統計,,積読,,,,2024/11/18 22:53,,イラスト図解式 この一冊で全部わかるネットワークの基本 第2版,福永勇二,SBクリエイティブ,2023,本,200
1,4.82E+09,9.78E+12,IT・統計,,積読,,,,2024/11/18 22:53,,イラスト図解式 この一冊で全部わかるサーバーの基本 第2版,きはしまさひろ,SBクリエイティブ,2022,本,192
1,4.80E+09,9.78E+12,IT・統計,,積読,,,,2024/11/18 22:53,,イラスト図解式 この一冊で全部わかるクラウドの基本 第2版,林雅之,SBクリエイティブ,2019,本,192
1,4.05E+09,9.78E+12,ノンフィクション・エッセイ,4,読み終わった,,,,2024/11/18 22:53,2024/9/18 0:00,なぜ僕らは働くのか 君が幸せになるために考えてほしい大切なこと,佳奈,学研プラス,2020,本,228
1,4.10E+09,9.78E+12,哲学・宗教,4,読み終わった,,,,2024/11/18 22:53,2024/4/24 0:00,暇と退屈の倫理学 (新潮文庫),國分功一郎,新潮社,2021,本,512
1,4.06E+09,9.78E+12,小説,5,読み終わった,,,,2024/11/18 22:52,2024/7/18 0:00,影法師 (講談社文庫),百田尚樹,講談社,2012,本,408
1,406276413X,9.78E+12,小説,,積読,,,,2024/11/18 22:52,,永遠の0 (講談社文庫),百田尚樹,講談社,2009,本,608
1,4.10E+09,9.78E+12,小説,4,読み終わった,,,,2024/11/18 22:52,2025/7/8 12:45,夏の騎士 (新潮文庫),百田尚樹,新潮社,2021,本,288
1,4.06E+09,9.78E+12,小説,4,読み終わった,,,,2024/11/18 22:52,2024/6/18 0:00,十角館の殺人 <新装改訂版> (講談社文庫),綾辻行人,講談社,2007,本,512
1,4.10E+09,9.78E+12,小説,5,読み終わった,,,,2024/11/18 22:52,2024/11/28 12:59,リプレイ (新潮文庫),ケン・グリムウッド,新潮社,1990,本,474
1,4.31E+09,9.78E+12,自然科学,3,読み終わった,,,,2024/11/18 22:52,2024/12/6 12:52,この世界が消えたあとの 科学文明のつくりかた (河出文庫),ルイス・ダートネル,河出書房新社,2018,本,432
1,4.30E+09,9.78E+12,自己啓発,3,読み終わった,,,,2024/11/18 22:47,2024/7/18 0:00,さあ、才能(じぶん)に目覚めよう 最新版 ストレングス・ファインダー2.0,ジム・クリフトン,日経BP,2023,本,224
1,4.80E+09,9.78E+12,仕事術,4,読み終わった,,,,2024/11/18 22:47,2024/8/18 0:00,行動が結果を変える ハック大学式 最強の仕事術,ハック大学ぺそ,ソシム,2020,本,212
1,476313860X,9.78E+12,自己啓発,3,読み終わった,,,,2024/11/18 22:47,2024/8/18 0:00,News Diet,ロルフ・ドベリ,サンマーク出版,2021,本,304
1,4.53E+09,9.78E+12,自己啓発,3,読み終わった,,,,2024/11/18 22:46,2024/9/18 0:00,達人のサイエンス 真の自己成長のために,ジョージ・レナード,日本教文社,1994,本,210
1,B0B92BR151,,芸術・スポーツ,3,読み終わった,,,,2024/11/18 22:42,2024/11/17 0:00,筋肥大の3原理・5原則: 筋肥大に、裏ワザはない。 Kindle筋トレ読本,浅見　陽輔,,,電子書籍,233
1,B0CP212ZQP,,その他,3,読み終わった,,,,2024/11/18 22:42,2024/11/17 0:00,超改訂版　難しいことはわかりませんが、お金の増やし方を教えてください！,山崎元,文響社,2023,電子書籍,323
1,B0BH3PZ2L2,,芸術・スポーツ,3,読み終わった,,,,2024/11/18 22:41,2024/11/16 0:00,最強の懸垂トレーニング: 懸垂（チンニング）マシンで、強い背中を作る。自宅筋トレ「最強」シリーズ第2弾！ Kindle筋トレ読本,浅見　陽輔,,2022,電子書籍,205
1,B01GF9HOH6,,学習・教育,3,読み終わった,,,,2024/11/18 22:40,2024/11/18 0:00,学びとは何か－〈探究人〉になるために (岩波新書),今井 むつみ,岩波書店,2016,電子書籍,232
1,B093GZMY4C,,漫画,3,読み終わった,,,,2024/11/18 22:39,2024/10/22 0:00,漫画　人間失格,太宰治,文響社,2021,電子書籍,198
1,B07NXQW2NX,,芸術・スポーツ,3,読み終わった,,,,2024/11/18 22:38,2024/10/13 0:00,プリズナートレーニング外伝　監獄式ボディビルディング,ポール・ウエイド,ＣＥメディアハウス,2019,電子書籍,231
1,4.05E+09,9.78E+12,その他,4,読み終わった,,,,2024/11/18 22:38,2024/10/1 0:00,人生を変える読書 人類三千年の叡智を力に変える,堀内勉,Gakken,2023,本,240
1,B089G942L1,,その他,4,読み終わった,,,,2024/11/18 22:37,2024/9/27 0:00,『仕事の失敗に落ち込みやすい』から自由へ,沢瀬直太朗,,,電子書籍,190
1,B0CZXNHQDR,,漫画,5,読み終わった,,,,2024/11/18 22:34,2024/9/12 0:00,ドクターストーン Dr.STONE　コミック　全27巻セット (集英社),Ｂｏｉｃｈｉ,株式会社,,マンガ,1
1,B0BCNTVTNR,,小説,4,読み終わった,,,,2024/11/18 22:33,2024/8/13 0:00,傲慢と善良 (朝日文庫),辻村　深月,朝日新聞出版,2022,電子書籍,449
1,B08Z3GQQWJ,,小説,4,読み終わった,,,,2024/11/18 22:32,2024/8/8 0:00,もしも徳川家康が総理大臣になったら,眞邊 明人,サンマーク出版,2021,電子書籍,420
1,B07L67XZSS,,仕事術,3,読み終わった,,,,2024/11/18 22:31,2024/7/7 0:00,メモの魔力　-The Magic of Memos- (NewsPicks Book),前田裕二,幻冬舎,2018,電子書籍,224
1,B0B1JPPCBL,,IT・統計,3,読み終わった,,,,2024/11/18 22:30,2024/6/20 0:00,文系社会人のためのIT資格の歩き方: 文系のあなたに最適な道をご提案します (YKcreate kiki),YKcreate kiki,YKCreate,,電子書籍,
1,B095N5NKQ7,,IT・統計,2,読み終わった,,,,2024/11/18 22:29,2024/6/11 0:00,駆逐される人材とDX人材: ～あなたも明日からDX人材になれる！～ DX時代の歩き方,佐藤洋,,,電子書籍,60
1,B0976S5QXB,,自然科学,2,読み終わった,,,,2024/11/18 22:28,2024/6/6 0:00,生物学的に、しょうがない！,石川 幹人,サンマーク出版,2021,電子書籍,212
1,B0B2M34633,,IT・統計,3,読み終わった,,,,2024/11/18 22:27,2024/6/9 0:00,IT人材育成最速の教科書: 全社員にITパスポートを。だけでは他企業に勝てません。 (YKcreate kiki),YKcreate kiki,,,電子書籍,
1,4.07E+09,9.78E+12,漫画,5,読み終わった,,,,2024/11/18 22:25,2024/4/27 0:00,沈黙の艦隊 全16巻セット 講談社漫画文庫,かわぐち かいじ,講談社,2002,本,
1,B0CSGC6CYK,,自己啓発,3,読み終わった,,,,2024/11/18 22:24,2024/3/19 0:00,会社を辞めて生き方を変えることにした: 惰性で生きてた僕が、一度きりの人生の生き方を変えるまでの話 経験談シリーズ,すずひら,,2024,電子書籍,173
1,B08N5NCDTL,,漫画,4,読み終わった,,,,2024/11/18 22:23,2024/3/9 0:00,メンタル強め美女白川さん (コミックエッセイ),獅子,KADOKAWA,2020,電子書籍,183
1,B01GNMK17K,,歴史・伝記,3,読み終わった,,,,2024/11/18 22:22,2024/3/9 0:00,マンガ 世界の偉人伝 未来を作った10人,西東社編集部,西東社,2016,電子書籍,354
1,B08CQ7NBXR,,仕事術,4,読み終わった,,,,2024/11/18 22:19,2024/1/18 0:00,脱マウス最速仕事術――年間１２０時間の時短を実現した５０のテクニック,森新,ダイヤモンド社,2020,電子書籍,241
1,B0CNGG5M5C,,IT・統計,5,読み終わった,,,,2024/11/18 22:19,2024/1/24 0:00,【令和６年度】 いちばんやさしい ITパスポート　絶対合格の教科書＋出る順問題集,高橋 京介,SBクリエイティブ,2023,電子書籍,
1,B00E4U62PO,,自己啓発,3,読み終わった,,,,2024/11/18 22:17,2024/1/27 0:00,あなたを天才にするスマートノート・電子版プラス,岡田斗司夫 FREEex,株式会社ロケット,2014,電子書籍,294
1,B093P7PWKL,,IT・統計,4,読み終わった,,,,2024/11/18 22:15,2023/12/20 0:00,ITおじさん 1巻,山田しいた,電書バト,2023,電子書籍,
1,B093PRLL7D,,IT・統計,4,読み終わった,,,,2024/11/18 22:15,2023/12/22 0:00,ITおじさん 2巻,山田しいた,電書バト,2023,電子書籍,
1,B08H1SKN8X,,小説,5,読み終わった,,,,2024/11/18 22:13,2023/12/12 0:00,そして、バトンは渡された (文春文庫),瀬尾 まいこ,文藝春秋,2020,電子書籍,375
1,B0C8SNYMMP,,自己啓発,3,読み終わった,,,,2024/11/18 22:11,2023/11/20 0:00,ドーパミン復活早起き法【対話版】: 「最高の目覚めと深い睡眠」「最高の気分と活力」を手に入れる最短ルート案内,Jeg,,,電子書籍,101
1,B078HQ8C84,,小説,4,読み終わった,,,,2024/11/18 22:09,2023/11/8 0:00,嗤う淑女 (実業之日本社文庫),中山 七里,実業之日本社,2017,電子書籍,336
1,B06X6H7RPS,,自然科学,3,読み終わった,,,,2024/11/18 22:07,2023/9/9 0:00,人類と気候の１０万年史　過去に何が起きたのか、これから何が起こるのか (ブルーバックス),中川毅,講談社,2017,電子書籍,223
1,B00BEPJ33U,,小説,3,読み終わった,,,,2024/11/18 22:05,2023/5/27 0:00,さいはての彼女 (角川文庫),原田 マハ,KADOKAWA,2013,電子書籍,184
1,B00QT9XB16,,哲学・宗教,,積読,,,,2024/11/18 21:08,,ツァラトゥストラは　こう言った 上 (岩波文庫),ニーチェ,岩波書店,1967,電子書籍,255
1,B07D4DG4M4,,哲学・宗教,2,読み終わった,,,,2024/11/18 21:07,2024/1/26 0:00,ツァラトゥストラはかく語りき,ニーチェ,講談社,2018,電子書籍,
1,B0CGTVP2TT,,経済・社会科学,4,読み終わった,,,,2024/11/18 21:06,2025/11/26 0:00,実力も運のうち　能力主義は正義か？ (ハヤカワ文庫NF),マイケル サンデル,早川書房,2023,電子書籍,390
1,B08LV2M3JS,,哲学・宗教,3,読み終わった,,,,2024/11/18 21:06,2024/1/22 0:00,「最強！」のニーチェ入門　幸福になる哲学 (河出文庫),飲茶,河出書房新社,2020,電子書籍,247
1,B00WWQPBB8,,小説,4,読み終わった,,,,2024/11/18 21:05,2024/1/12 0:00,アルジャーノンに花束を〔新版〕,ダニエル キイス,早川書房,2015,電子書籍,372
1,B089LGGPVQ,,小説,,読み終わった,,,,2024/11/18 21:04,2023/11/30 0:00,カエルの楽園2020（新潮文庫）,百田尚樹,新潮社,2020,電子書籍,178
1,B09P7WXQN9,,自己啓発,2,読み終わった,,,,2024/11/18 21:03,2023/11/18 0:00,「会社辞めたい」ループから抜け出そう！　転職後も武器になる思考法,佐野 創太,サンマーク出版,2022,電子書籍,232
1,B0873ZP491,,小説,4,読み終わった,,,,2024/11/18 21:03,2023/11/18 0:00,カエルの楽園（新潮文庫）,百田尚樹,新潮社,2017,電子書籍,228
1,B0BH4P9XHY,,自己啓発,2,読み終わった,,,,2024/11/18 21:02,2023/11/18 0:00,【電子限定特典付】自分だけの強みが遊ぶように見つかる 適職の地図,土谷愛,かんき出版,2022,電子書籍,266
1,B0BYS8125H,,経済・社会科学,4,読み終わった,,,,2024/11/18 21:01,2023/8/18 0:00,「能力」の生きづらさをほぐす,勅使川原真衣,どく社,,電子書籍,254
1,B08PKJZYPJ,,自己啓発,3,読み終わった,,働き方,,2024/11/18 21:00,2023/6/11 0:00,転職2.0　日本人のキャリアの新・ルール,村上 臣,SBクリエイティブ,2021,電子書籍,245
1,4.48E+09,9.78E+12,自己啓発,3,読み終わった,,働き方,,2024/11/18 20:59,2023/6/9 0:00,マンガ このまま今の会社にいていいのか?と一度でも思ったら読む 転職の思考法,北野唯我,ダイヤモンド社,2021,本,176
1,B0BYRGVMHZ,,自己啓発,4,読み終わった,,働き方,,2024/11/18 20:58,2023/5/18 0:00,世界一やさしい「才能」の見つけ方　一生ものの自信が手に入る自己理解メソッド,八木 仁平,KADOKAWA,2023,電子書籍,271
1,B09NJMCW3R,,小説,5,読み終わった,,,,2024/11/18 20:57,2023/5/18 0:00,流浪の月 (創元文芸文庫),凪良 ゆう,東京創元社,2022,電子書籍,336
1,4.30E+09,9.78E+12,経済・社会科学,,積読,,,,2023/4/16 11:08,,SDGsが生み出す未来のビジネス,水野雅弘,インプレス,2020,本,192
1,4.42E+09,9.78E+12,自己啓発,3,読み終わった,,,,2023/4/16 11:08,2023/5/18 0:00,道は開ける,香山晶,創元社,1999,本,432
1,4.11E+09,9.78E+12,ノンフィクション・エッセイ,3,読み終わった,,,,2023/4/16 10:56,2023/3/15 0:00,バカと無知 人間、この不都合な生きもの (新潮新書),橘玲,新潮社,2022,本,288
1,4.11E+09,9.78E+12,ノンフィクション・エッセイ,4,読み終わった,,,,2023/4/16 10:56,2025/5/8 0:00,バカの壁 (新潮新書),養老孟司,新潮社,2003,本,208
1,4.05E+09,9.78E+12,経済・社会科学,,積読,,,,2023/4/16 10:55,,イラスト図解 社会人として必要な経済と政治のことが5時間でざっと学べる,池上彰,KADOKAWA,2018,本,384
1,4.48E+09,9.78E+12,その他,5,読み終わった,,,,2023/4/16 10:55,2023/2/28 0:00,服が、めんどい 「いい服」「ダメな服」を1秒で決める,大山旬,ダイヤモンド社,2019,本,192
1,4.07E+09,9.78E+12,経済・社会科学,3,読み終わった,,,,2023/4/16 10:53,2023/8/18 0:00,物価とは何か (講談社選書メチエ),渡辺努,講談社,2022,本,336
1,4.34E+09,9.78E+12,IT・統計,3,読み終わった,,,,2023/4/16 10:53,2023/3/31 0:00,世界標準のテクノロジー教養 シリコンバレーの一流投資家が教える,山本康正,幻冬舎,2021,本,
1,4.00E+09,9.78E+12,哲学・宗教,4,読み終わった,,,,2023/4/16 10:52,2023/5/16 0:00,論語 (岩波文庫),金谷治,岩波書店,1999,本,430
1,B00IDPWQVA,,漫画,5,読み終わった,,,,2023/4/16 10:51,2023/1/18 0:00,どうぶつの国 コミック 全14巻完結セット (少年マガジンコミックス),雷句 誠,講談社,2014,マンガ,1
1,4.06E+09,9.78E+12,経済・社会科学,4,読み終わった,,,,2023/4/16 10:51,2023/2/17 0:00,ひとはなぜ戦争をするのか (講談社学術文庫),浅見昇吾,講談社,2016,本,120
1,4.59E+09,9.78E+12,小説,3,読み終わった,,,,2023/4/16 10:49,2023/2/8 0:00,死にたい夜にかぎって (扶桑社文庫),爪切男,扶桑社,2019,本,
1,4.30E+09,9.78E+12,自己啓発,4,読み終わった,,,,2023/4/15 16:37,2023/4/23 10:39,冒険の書 AI時代のアンラーニング,孫泰蔵,日経BP,2023,本,368
1,B00ZTHCE8K,,小説,4,読み終わった,,,,2023/3/23 20:23,2023/3/23 20:23,翼をください　上 (角川文庫),原田 マハ,KADOKAWA,2015,電子書籍,254
1,B00ZTHCGQA,,小説,4,読み終わった,,,,2023/3/23 20:23,2023/3/23 20:23,翼をください　下 (角川文庫),原田 マハ,KADOKAWA,2015,電子書籍,265
1,B00EU9P58Y,,自己啓発,3,読み終わった,,,,2023/3/23 20:23,2023/3/23 20:23,藤原和博の必ず食える１％の人になる方法,藤原 和博,東洋経済新報社,2013,電子書籍,196
1,B09KG9XFDT,,その他,3,読み終わった,,,,2023/3/23 20:23,2023/3/23 20:23,現代病「集中できない」を知力に変える　読む力　最新スキル大全―脳が超スピード化し、しかもクリエイティブに動き出す！,佐々木 俊尚,東洋経済新報社,2022,電子書籍,372
1,B00AZWTFFO,,その他,3,読み終わった,,,,2023/3/23 20:22,2023/3/23 20:22,年収２００万円からの貯金生活宣言 正しいお金の使い方編,横山光昭,ディスカヴァー・トゥエンティワン,2010,電子書籍,214
1,B07Y5D8WF4,,その他,5,読み終わった,,,,2023/3/23 20:21,2023/3/23 20:21,漫画 バビロン大富豪の教え　「お金」と「幸せ」を生み出す五つの黄金法則,ジョージ・Ｓ・クレイソン,文響社,2019,電子書籍,468
1,B082WRTFF6,,その他,3,読み終わった,,,,2023/3/23 20:21,2023/3/23 20:21,キャッシュレス貧乏にならないお金の整理術,横山光昭,クロスメディア・パブリッシング（インプレス）,2019,電子書籍,193
1,B07BS9TYLH,,その他,2,読み終わった,,,,2023/3/23 20:20,2023/3/23 20:20,まんがでわかる 年収200万円からの貯金生活宣言,横山光昭,ディスカヴァー・トゥエンティワン,2018,電子書籍,194
1,B09LQP8M4Q,,漫画,2,読み終わった,,,,2023/3/23 20:19,2023/3/23 20:19,共産党宣言 (まんがで読破),マルクス,Teamバンミカス,,電子書籍,
1,B09WXDWSB3,,漫画,3,読み終わった,,,,2023/3/23 20:17,2023/3/23 20:17,打撃マン1 (SMART COMICS),山本康人,スマートゲート,2022,電子書籍,
1,B09WXWH7GR,,漫画,3,読み終わった,,,,2023/3/23 20:17,2023/3/23 20:17,打撃マン2 (SMART COMICS),山本康人,スマートゲート,2022,電子書籍,
1,B09WY4R33D,,漫画,3,読み終わった,,,,2023/3/23 20:17,2023/3/23 20:17,打撃マン3 (SMART COMICS),山本康人,スマートゲート,2022,電子書籍,
1,B09XB8D9LD,,漫画,2,読み終わった,,,,2023/3/23 20:17,2023/3/23 20:17,打撃天使ルリ 1 (SMART COMICS),山本康人,スマートゲート,2022,電子書籍,
1,B09XBBCK14,,漫画,2,読み終わった,,,,2023/3/23 20:17,2023/3/23 20:17,打撃天使ルリ 2 (SMART COMICS),山本康人,スマートゲート,2022,電子書籍,
1,B09XB8HSD5,,漫画,2,読み終わった,,,,2023/3/23 20:17,2023/3/23 20:17,打撃天使ルリ 3 (SMART COMICS),山本康人,スマートゲート,2022,電子書籍,
1,B09XB8JWXG,,漫画,2,読み終わった,,,,2023/3/23 20:17,2023/3/23 20:17,打撃天使ルリ 4 (SMART COMICS),山本康人,スマートゲート,2022,電子書籍,
1,B096JBLB7Z,,漫画,2,読み終わった,,,,2023/3/23 20:17,2023/3/23 20:17,ヴェニスの商人 (まんがで読破),シェイクスピア,Teamバンミカス,,電子書籍,194
1,B0BGP2KCPT,,経済・社会科学,2,読み終わった,,,,2023/3/23 20:16,2023/3/23 20:16,まんがでわかる　ＬＩＦＥ　ＳＨＩＦＴ　２（ライフ・シフト２）―１００年時代の行動戦略 LIFE SHIFT,アンドリュー・スコット,東洋経済新報社,2022,電子書籍,
1,B09LHFMCS2,,ノンフィクション・エッセイ,3,読み終わった,,,,2023/3/23 20:15,2023/3/23 0:00,日本のみなさんにお伝えしたい48のWhy,厚切りジェイソン,ぴあ,2015,電子書籍,189
1,B0BC26RHZJ,,漫画,2,読み終わった,,,,2023/3/23 20:15,2023/3/23 20:15,痴人の愛 (まんがで読破),谷崎潤一郎,Teamバンミカス,,電子書籍,
1,B097ZS7S4Z,,漫画,2,読み終わった,,,,2023/3/23 20:14,2023/3/23 20:14,社会契約論 (まんがで読破),ルソー,Teamバンミカス,,電子書籍,
1,B09FZYLVM6,,漫画,3,読み終わった,,,,2023/3/23 20:14,2023/3/23 20:14,エミール (まんがで読破),ルソー,Teamバンミカス,,電子書籍,
1,B091SRKW5Q,,漫画,1,読み終わった,,,,2023/3/23 20:13,2023/3/23 20:13,"堕落論,白痴 (まんがで読破)",坂口 安吾,Teamバンミカス,,電子書籍,194
1,B09NDWS55V,,漫画,2,読み終わった,,,,2023/3/23 20:12,2023/3/23 20:12,クリスマス・キャロル (まんがで読破),ディケンズ,Teamバンミカス,,電子書籍,
1,B0BLHWMBLC,,漫画,3,読み終わった,,,,2023/3/23 20:10,2023/3/23 20:10,史記 【超合本版】 (ゴマブックス×ナンバーナイン),久松文雄,ナンバーナイン,2022,電子書籍,
1,B06ZZH4CKN,,学習・教育,3,読み終わった,,,,2023/3/23 18:16,2023/3/23 18:16,海外ドラマはたった350の単語でできている [英語マスターシリーズ],Cozy,西東社,2017,電子書籍,210
1,B09S5KJLW4,,ノンフィクション・エッセイ,4,読み終わった,,,,2022/5/24 13:17,2022/5/19 0:00,91歳。一歩一歩、また一歩。必ず頂上に辿り着く,道場 六三郎,KADOKAWA,2022,電子書籍,166
1,B099W5RJ3P,,経済・社会科学,3,読み終わった,,経済,,2022/5/18 18:31,2022/5/17 0:00,プロセスエコノミー　あなたの物語が価値になる (幻冬舎単行本),尾原和啓,幻冬舎,2021,電子書籍,157
1,4.49E+09,9.78E+12,経済・社会科学,,読み終わった,,資源,,2022/4/27 12:50,2022/3/31 0:00,新しい世界の資源地図 エネルギー・気候変動・国家の衝突,ダニエル・ヤーギン,東洋経済新報社,2022,本,600
1,4.48E+09,9.78E+12,歴史・伝記,4,読み終わった,,歴史,,2022/4/6 7:59,2022/4/12 0:06,世界史を俯瞰して、思い込みから自分を解放する 歴史思考,深井龍之介,ダイヤモンド社,2022,本,248
1,4.10E+09,9.78E+12,ノンフィクション・エッセイ,3,読み終わった,,,,2022/3/29 22:26,2022/4/1 17:37,日本人はどう住まうべきか? (新潮文庫),養老孟司,新潮社,2015,本,208
1,4.06E+09,9.78E+12,ノンフィクション・エッセイ,3,読み終わった,,,,2022/3/23 23:13,2022/3/21 0:00,グレープフルーツ・ジュース (講談社文庫),南風椎,講談社,1998,本,122
1,414407255X,9.78E+12,学習・教育,4,読み終わった,,読書,,2022/3/20 10:34,2022/3/20 10:34,NHK出版 学びのきほん 「読む」って、どんなこと? (教養・文化シリーズ),高橋源一郎,NHK出版,2020,雑誌,120
1,4.04E+09,9.78E+12,歴史・伝記,4,読み終わった,,"歴史,第一次世界大戦",,2022/3/15 20:34,2022/4/20 0:00,日本人のための第一次世界大戦史 (角川ソフィア文庫),板谷敏彦,KADOKAWA,2020,本,544
1,4.01E+09,9.78E+12,歴史・伝記,4,読み終わった,,"食べ物,世界史",,2022/3/12 20:53,2022/5/1 22:53,食べものから学ぶ世界史 人も自然も壊さない経済とは? (岩波ジュニア新書 937),平賀緑,岩波書店,2021,本,196
1,4.10E+09,9.78E+12,ノンフィクション・エッセイ,,読み終わった,,,,2022/3/12 20:52,2023/3/10 0:00,旅のつばくろ,沢木耕太郎,新潮社,2020,本,224
1,4.07E+09,9.78E+12,その他,3,読み終わった,,,,2022/3/6 10:04,2022/3/6 10:04,100万回死んだねこ 覚え違いタイトル集,福井県立図書館,講談社,2021,本,192
1,488747024X,9.78E+12,詩歌,4,読み終わった,,,,2022/2/26 23:37,2022/2/26 23:37,ポケット詩集 II,田中和雄,童話屋,2001,本,160
1,4.89E+09,9.78E+12,詩歌,5,読み終わった,,,,2022/2/26 23:37,2022/2/27 11:31,ポケット詩集 III,田中和雄,童話屋,2004,本,160
1,B07D6NL661,,漫画,4,読み終わった,,"歴史,史記",,2022/2/23 19:00,2022/2/23 19:00,史記 大合本1　1～5巻収録,久松文雄,ゴマブックス株式会社,,電子書籍,1334
1,B07D6P935Q,,漫画,4,読み終わった,,"歴史,史記",,2022/2/23 19:00,2022/2/23 19:00,史記 大合本2　6～10巻収録,久松文雄,ゴマブックス株式会社,,電子書籍,1307
1,4.12E+09,9.78E+12,歴史・伝記,,積読,,ガンディー,,2022/2/21 21:52,,ガンジー自伝 (中公文庫 Biblio),蝋山芳郎,中央公論新社,2004,本,520
1,4.10E+09,9.78E+12,歴史・伝記,,積読,,ヘレンケラー,,2022/2/21 21:52,,奇跡の人ヘレン・ケラー自伝 (新潮文庫),ヘレン・ケラー,新潮社,2004,本,208
1,4.06E+09,9.78E+12,自己啓発,3,読み終わった,,宮本武蔵,,2022/2/21 21:51,2022/2/23 0:00,五輪書 (講談社学術文庫),鎌田茂雄,講談社,1986,本,264
1,4.88E+09,9.78E+12,歴史・伝記,,積読,,偉人,,2022/2/21 21:50,,日本の偉人100人 (上),寺子屋モデル,致知出版社,2012,本,
1,4.88E+09,9.78E+12,歴史・伝記,,積読,,偉人,,2022/2/21 21:50,,日本の偉人100人 (下),寺子屋モデル,致知出版社,2012,本,
1,4.76E+09,9.78E+12,詩歌,4,読み終わった,,,,2022/2/19 20:46,2022/2/19 22:31,贈るうた 新装版,吉野弘,花神社,2006,本,
1,4.89E+09,9.78E+12,詩歌,5,読み終わった,,詩,,2022/2/13 20:37,2022/2/13 23:29,ポケット詩集,田中和雄,童話屋,1998,本,160
1,B09984ZL2D,,漫画,3,読み終わった,,,,2022/2/11 17:46,2022/2/11 17:46,千夜一夜物語 (まんがで読破),バラエティ・アートワークス,Teamバンミカス,,電子書籍,
1,4.00E+09,9.78E+12,歴史・伝記,4,読み終わった,"インド独立の父として、言葉だけじゃなくて行動を持って民衆を導く姿が素晴らしいと感じた。

ただ、この本の良いところは、そんなガンディーの偉大な一面だけでなく、ガンディーの偉大な功績の影にある負の部分（特にガンディーの家族）にも触れてあるところにあると思う。

どんな事にも良い面、悪い面があり、そのどちらもきちんと記されてあるこの本はガンディーを知る取っ掛かりとして素晴らしい本ではないか。

この後は、ガンディー自身の著書も読んでみたい。","歴史,ガンディー",,2022/2/5 19:20,2022/2/12 14:19,ガンディー 平和を紡ぐ人 (岩波新書 1699),竹中千春,岩波書店,2018,本,240
1,4.00E+09,9.78E+12,歴史・伝記,,積読,,,,2022/2/5 19:20,,マーティン・ルーサー・キング 非暴力の闘士 (岩波新書 1711),黒?真,岩波書店,2018,本,240
1,B085DMMMSB,,漫画,4,読み終わった,,,,2022/2/5 9:31,2022/2/5 9:31,書店員 波山個間子 1巻,黒谷知也,電書バト,2017,電子書籍,184
1,B01N0ENHQL,,歴史・伝記,3,読み終わった,,,,2022/2/5 9:15,2022/2/5 9:15,マハトマ・ガンジー,海老根一樹,電書バト,2016,電子書籍,187
1,456984846X,9.78E+12,芸術・スポーツ,4,読み終わった,,ラグビー,,2022/1/31 13:19,2022/1/31 0:00,ベテランの心得 まずは自分が動かなアカンよね,堀江翔太,PHP研究所,2022,本,224
1,B009LHBVQ0,,漫画,,積読,,,,2022/1/14 22:58,,キングダム 1 (ヤングジャンプコミックスDIGITAL),原泰久,集英社,2006,電子書籍,218
1,4.91E+09,9.78E+12,芸術・スポーツ,4,読み終わった,"読んだきっかけは、日経新聞で紹介されてたのと、TVのトーク番組で見て面白い人だなぁと思ったことがきっかけ。

内容は主に、木村さんの人生を振り返っていく自伝。

読んでいくと、全盲という障害があるからと言って特別なことがある訳でもなく、普通の人と同じように生活し、同じような事を考えてるんだなぁと思った。
（実際にはそうじゃないかもしれない。でもそう思わせるくらい、本当に普通の日常をおくられてた）

私自身もスポーツをやっており、競技に対する考え方や悩み等について共感する点もあり、凄く身近に感じられた。


読んだ後に熱くなる、やる気が出るというより、何だかホッとする気持ちにさせてくれる本でした。",,,2022/1/10 23:34,2022/1/17 21:19,闇を泳ぐ 全盲スイマー、自分を超えて世界に挑む。,木村敬一,ミライカナイ,2021,本,
1,4.00E+09,9.78E+12,歴史・伝記,4,読み終わった,,"日本人,人文学",,2022/1/7 8:09,2022/1/7 23:18,代表的日本人 (岩波文庫 青119-3),内村鑑三,岩波書店,1995,本,256
1,4.17E+09,9.78E+12,ノンフィクション・エッセイ,4,読み終わった,,読書,,2021/12/21 12:11,2021/12/23 9:53,子供時代の読書の思い出 橋をかける (文春文庫),美智子,文藝春秋,2009,本,144
1,4.56E+09,9.78E+12,歴史・伝記,,積読,,"ハドリアヌス,古代ローマ",,2021/12/21 12:10,,ハドリアヌス帝の回想,マルグリットユルスナール,白水社,2008,本,379
1,B07D6QHW4N,,漫画,3,読み終わった,,,,2021/12/19 7:47,2021/12/19 7:47,秦始皇帝　大合本　全4巻収録,久松文雄,ゴマブックス株式会社,,電子書籍,
